Scheme Name,URL
Madhya Pradesh Professional Talent Examination Award Scheme,https://www.myscheme.gov.in/schemes/mppteas
Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,https://www.myscheme.gov.in/schemes/feotteuyobcamc
Development of Industrie-Training Scheme,https://www.myscheme.gov.in/schemes/doits
Jute Resource-Cum-Production Centre,https://www.myscheme.gov.in/schemes/jrcpc
Coffee Development Programme in North Eastern Region: Support for Group Nurseries,https://www.myscheme.gov.in/schemes/cdpnersgn
"""Conversion/Modernisation of Mechanised Fishing Boats for Deep Sea Fishing"" under ""Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries""",https://www.myscheme.gov.in/schemes/cmmfbdsf-faascdmf
Reimbursement/ Spot Exemption of Sales Tax on High-Speed Diesel Oil,https://www.myscheme.gov.in/schemes/rsesthsdo-faascdmf
Delhi Pension Scheme To Women In Distress (Widow Pension),https://www.myscheme.gov.in/schemes/dpswdwp
Chief Minister Arogya Arunachal Yojana,https://www.myscheme.gov.in/schemes/cmaay
Financial Assistance to Fresh Water Aquaculture Farms,https://www.myscheme.gov.in/schemes/fafwaf
Back Ended Interest Subsidy (BEIS),https://www.myscheme.gov.in/schemes/beis
Supply of Dhotis and Sarees to Scheduled Caste (SC) People,https://www.myscheme.gov.in/schemes/sdsscp
Free Supply of Sarees and Dhothies to the Poor People,https://www.myscheme.gov.in/schemes/fssdpp
Financial Assistance to Old Age Pensioner Suffering From TB/ Cancer,https://www.myscheme.gov.in/schemes/faoapstbc
Financial Assistance to Scheduled Castes for Funeral Rites,https://www.myscheme.gov.in/schemes/fascfr
Grant of Financial Assistance to Differently Abled Person,https://www.myscheme.gov.in/schemes/gfadap
Government Special School for the Visually Handicapped and the Hearing Impaired,https://www.myscheme.gov.in/schemes/gssvhhi
Grant of Fuel Subsidy to Differently Abled Persons Who Are Owning Motorised Vehicles,https://www.myscheme.gov.in/schemes/gfsdapomv
Grant of Transport Allowance to Differently Abled Persons,https://www.myscheme.gov.in/schemes/gtadap
Free Distribution of Rice to Differently Abled Persons,https://www.myscheme.gov.in/schemes/fdrdap
"“Home for the Aged"" under Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)",https://www.myscheme.gov.in/schemes/hfta-giapsca
"“Medical Camps (Allopathy and Indian systems of Medicine)"" under Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)",https://www.myscheme.gov.in/schemes/mcacism-giapsca
Integrated Agriculture Training Centre Scheme,https://www.myscheme.gov.in/schemes/iatc
Grant of Incentive for Marriage Between Differently Abled Person,https://www.myscheme.gov.in/schemes/gimdap
Assistance to General Farmers for Installation of Submersible / Centrifugal Motor Pumpsets With Accessories,https://www.myscheme.gov.in/schemes/agfiscmpwa
"Grant-in-Aid to Non-governmental Organisations Running Residential Homes for the Children, Aged, and Vulnerable Persons Under Social Defence",https://www.myscheme.gov.in/schemes/giatngorhcavpusd
6 Varsh Se Adhik Aayu Ke Bahuviklang Aur Mansik Roop Se Aviksit Nisaktjan Ke Liye Sahayata Anudan Yojana,https://www.myscheme.gov.in/schemes/cvsaakbamrsanklsay
"""Design Development Training For Master Crafts Persons"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/ddtmcp
Motivation of Unemployed Persons to Start Self-employed Enterprises,https://www.myscheme.gov.in/schemes/mupssee
"""Training in Handicrafts"" Component of the ""Development Of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/tihcdohs
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",https://www.myscheme.gov.in/schemes/ahst
